TLP,vout,iout
315,15.49,5.99
316,15.5,6.01
317,15.52,6.03
318,15.53,6.049
319,15.55,6.069
320,15.56,6.089
321,15.58,6.108
322,15.59,6.128
323,15.61,6.148
324,15.62,6.168
325,15.64,6.187
326,15.65,6.207
327,15.67,6.227
328,15.68,6.246
329,15.7,6.266
330,15.71,6.286
331,15.73,6.305
332,15.74,6.325
333,15.76,6.345
334,15.77,6.365
335,15.79,6.384
336,15.8,6.404
337,15.82,6.424
338,15.83,6.443
339,15.85,6.463
340,15.86,6.483
341,15.88,6.502
342,15.89,6.522
343,15.91,6.542
344,15.92,6.562
345,15.94,6.581
346,15.95,6.601
347,15.97,6.621
348,15.98,6.64
349,16.0,6.66
350,16.01,6.68
351,16.03,6.699
352,16.04,6.719
353,16.06,6.739
354,16.07,6.759
355,16.09,6.778
356,16.1,6.798
357,16.12,6.818
358,16.13,6.837
359,16.15,6.857
360,16.16,6.877
361,16.18,6.896
362,16.19,6.916
363,16.21,6.936
364,16.22,6.956
365,16.24,6.975
366,16.25,6.995
367,16.27,7.015
368,16.28,7.034
369,16.3,7.054
370,16.31,7.074
371,16.33,7.093
372,16.34,7.113
373,16.36,7.133
374,16.37,7.153
375,16.39,7.172
376,16.4,7.192
377,16.42,7.212
378,16.43,7.231
379,16.45,7.251
380,16.47,7.271
381,16.48,7.29
382,16.5,7.31
383,16.51,7.33
384,16.53,7.349
385,16.54,7.369
386,16.56,7.389
387,16.57,7.409
388,16.59,7.428
389,16.6,7.448
390,16.62,7.468
391,16.63,7.487
392,16.65,7.507
393,16.66,7.527
394,16.68,7.546
395,16.69,7.566
396,16.71,7.586
397,16.72,7.606
398,16.74,7.625
399,16.75,7.645
400,16.77,7.665
401,16.78,7.684
402,16.8,7.704
403,16.81,7.724
404,16.83,7.743
405,16.84,7.763
406,16.86,7.783
407,16.87,7.803
408,16.89,7.822
409,16.9,7.842
410,16.92,7.862
411,16.93,7.881
412,16.95,7.901
413,16.96,7.921
414,16.98,7.94
415,16.99,7.96
416,17.01,7.98
417,17.02,8.0
418,17.04,8.019
419,17.05,8.039
420,17.07,8.059
421,17.08,8.078
422,17.1,8.098
423,17.11,8.118
424,17.13,8.137
425,17.14,8.157
426,17.16,8.177
427,17.17,8.197
428,17.19,8.216
429,17.2,8.236
430,17.22,8.256
431,17.23,8.275
432,17.25,8.295
433,17.26,8.315
434,17.28,8.334
435,17.29,8.354
436,17.31,8.374
437,17.32,8.394
438,17.34,8.413
439,17.35,8.433
440,17.37,8.453
441,17.38,8.472
442,17.4,8.492
443,17.41,8.512
444,17.43,8.531
445,17.44,8.551
446,17.46,8.571
447,17.47,8.591
448,17.49,8.61
449,17.5,8.63
450,17.52,8.65
451,17.53,8.669
452,17.55,8.689
453,17.56,8.709
454,17.58,8.728
455,17.59,8.748
456,17.61,8.768
457,17.62,8.788
458,17.64,8.807
459,17.65,8.827
460,17.67,8.847
461,17.68,8.866
462,17.7,8.886
463,17.71,8.906
464,17.73,8.925
465,17.74,8.945
466,17.76,8.965
467,17.77,8.985
468,17.79,9.004
469,17.8,9.024
470,17.82,9.044
471,17.83,9.063
472,17.85,9.083
473,17.86,9.103
474,17.88,9.122
475,17.89,9.142
476,17.91,9.162
477,17.92,9.182
478,17.94,9.201
479,17.95,9.221
480,17.97,9.241
481,17.98,9.26
482,18.0,9.28
483,18.01,9.3
484,18.03,9.319
485,18.04,9.339
486,18.06,9.359
487,18.07,9.379
488,18.09,9.398
489,18.1,9.418
490,18.12,9.438
491,18.13,9.457
492,18.15,9.477
493,18.16,9.497
494,18.18,9.516
495,18.19,9.536
496,18.21,9.556
497,18.22,9.576
498,18.24,9.595
499,18.25,9.615
500,18.27,9.635
