time,vout,iout
0,-1.47E-52,2.95E-54
2.00E-13,3.03E-01,6.04E-04
2.34E-13,3.54E-01,7.24E-04
2.79E-13,4.19E-01,9.10E-04
3.02E-13,4.53E-01,1.02E-03
3.33E-13,4.96E-01,1.17E-03
3.58E-13,5.31E-01,1.30E-03
3.86E-13,5.71E-01,1.46E-03
4.13E-13,6.08E-01,1.63E-03
4.43E-13,6.47E-01,1.82E-03
4.72E-13,6.86E-01,2.02E-03
5.04E-13,7.27E-01,2.24E-03
5.67E-13,8.09E-01,2.73E-03
6.41E-13,9.00E-01,3.35E-03
7.60E-13,1.041,4.50E-03
8.01E-13,1.088,4.93E-03
8.31E-13,1.122,5.27E-03
8.43E-13,1.135,5.39E-03
8.51E-13,1.144,5.48E-03
8.61E-13,1.155,5.60E-03
8.67E-13,1.162,5.67E-03
8.72E-13,1.167,5.73E-03
8.77E-13,1.172,5.79E-03
8.81E-13,1.177,5.84E-03
8.86E-13,1.182,5.89E-03
8.90E-13,1.186,5.94E-03
8.94E-13,1.191,5.99E-03
8.99E-13,1.196,6.04E-03
9.04E-13,1.202,6.10E-03
9.10E-13,1.208,6.17E-03
9.16E-13,1.214,6.25E-03
9.24E-13,1.222,6.34E-03
9.33E-13,1.232,6.45E-03
9.44E-13,1.244,6.59E-03
9.58E-13,1.259,6.76E-03
9.76E-13,1.278,6.99E-03
1.00E-12,1.303,7.30E-03
1.03E-12,1.336,7.73E-03
1.08E-12,1.379,8.31E-03
1.13E-12,1.432,9.07E-03
1.19E-12,1.484,9.85E-03
1.24E-12,1.534,1.07E-02
1.29E-12,1.582,1.15E-02
1.36E-12,1.636,1.25E-02
1.42E-12,1.694,1.36E-02
1.50E-12,1.758,1.49E-02
1.59E-12,1.829,1.65E-02
1.69E-12,1.905,1.83E-02
1.81E-12,1.988,2.05E-02
1.94E-12,2.077,2.31E-02
2.09E-12,2.171,2.61E-02
2.25E-12,2.269,2.96E-02
2.44E-12,2.373,3.38E-02
2.65E-12,2.48,3.86E-02
2.88E-12,2.589,4.42E-02
3.14E-12,2.702,5.07E-02
3.43E-12,2.816,5.81E-02
3.76E-12,2.933,6.66E-02
4.12E-12,3.053,7.64E-02
4.53E-12,3.176,8.74E-02
4.98E-12,3.307,9.98E-02
5.48E-12,3.446,1.14E-01
6.05E-12,3.601,1.30E-01
6.67E-12,3.776,1.47E-01
7.37E-12,3.982,1.66E-01
8.16E-12,4.228,1.87E-01
9.04E-12,4.527,2.11E-01
1.00E-11,4.896,2.36E-01
1.11E-11,5.354,2.64E-01
1.24E-11,5.923,2.94E-01
1.38E-11,6.605,3.28E-01
1.52E-11,7.295,3.61E-01
1.69E-11,8.143,4.02E-01
1.89E-11,9.07,4.48E-01
2.12E-11,10.13,5.03E-01
2.38E-11,11.33,5.68E-01
2.70E-11,12.72,6.46E-01
3.07E-11,14.37,7.37E-01
3.52E-11,16.34,8.45E-01
4.03E-11,18.72,9.70E-01
4.64E-11,21.64,1.114
5.35E-11,25.2,1.28
6.18E-11,29.57,1.469
7.15E-11,34.87,1.684
8.27E-11,41.23,1.933
9.60E-11,48.78,2.225
1.12E-10,57.66,2.571
1.17E-10,59.99,2.707
1.20E-10,60.98,2.779
1.22E-10,61.68,2.833
1.24E-10,62.45,2.894
