time,vout,iout
0,-6.46E-53,1.29E-54
2.00E-13,3.03E-01,6.04E-04
2.34E-13,3.54E-01,7.24E-04
2.79E-13,4.19E-01,9.10E-04
3.02E-13,4.53E-01,1.02E-03
3.33E-13,4.96E-01,1.17E-03
3.58E-13,5.31E-01,1.30E-03
3.86E-13,5.71E-01,1.46E-03
4.13E-13,6.08E-01,1.63E-03
4.43E-13,6.47E-01,1.82E-03
4.72E-13,6.86E-01,2.02E-03
5.04E-13,7.27E-01,2.24E-03
5.67E-13,8.09E-01,2.73E-03
6.41E-13,9.00E-01,3.35E-03
7.60E-13,1.041,4.50E-03
8.01E-13,1.088,4.93E-03
8.31E-13,1.122,5.27E-03
8.43E-13,1.135,5.39E-03
8.51E-13,1.144,5.48E-03
8.61E-13,1.155,5.60E-03
8.67E-13,1.162,5.67E-03
8.72E-13,1.167,5.73E-03
8.77E-13,1.172,5.79E-03
8.81E-13,1.177,5.84E-03
8.86E-13,1.182,5.89E-03
8.90E-13,1.186,5.94E-03
8.94E-13,1.191,5.99E-03
8.99E-13,1.196,6.04E-03
9.04E-13,1.202,6.10E-03
9.10E-13,1.208,6.17E-03
9.16E-13,1.214,6.25E-03
9.24E-13,1.222,6.34E-03
9.33E-13,1.232,6.45E-03
9.44E-13,1.244,6.59E-03
9.58E-13,1.259,6.76E-03
9.76E-13,1.278,6.99E-03
1.00E-12,1.303,7.30E-03
1.03E-12,1.336,7.73E-03
1.08E-12,1.379,8.31E-03
1.13E-12,1.434,9.10E-03
1.19E-12,1.486,9.89E-03
1.24E-12,1.538,1.07E-02
1.30E-12,1.587,1.16E-02
1.36E-12,1.641,1.26E-02
1.43E-12,1.7,1.37E-02
1.51E-12,1.765,1.50E-02
1.60E-12,1.836,1.66E-02
1.70E-12,1.913,1.85E-02
1.82E-12,1.996,2.07E-02
1.95E-12,2.085,2.34E-02
2.10E-12,2.18,2.64E-02
2.27E-12,2.279,3.00E-02
2.46E-12,2.383,3.42E-02
2.67E-12,2.49,3.91E-02
2.90E-12,2.6,4.48E-02
3.17E-12,2.713,5.13E-02
3.46E-12,2.828,5.89E-02
3.79E-12,2.945,6.75E-02
4.16E-12,3.065,7.74E-02
4.57E-12,3.189,8.85E-02
5.03E-12,3.32,1.01E-01
5.54E-12,3.461,1.15E-01
6.10E-12,3.617,1.31E-01
6.74E-12,3.795,1.49E-01
7.45E-12,4.004,1.68E-01
8.24E-12,4.254,1.90E-01
9.13E-12,4.56,2.13E-01
1.01E-11,4.937,2.39E-01
1.13E-11,5.405,2.67E-01
1.25E-11,5.985,2.98E-01
1.40E-11,6.705,3.31E-01
1.56E-11,7.594,3.67E-01
1.74E-11,8.687,4.06E-01
1.95E-11,10.02,4.49E-01
2.19E-11,11.66,4.96E-01
2.46E-11,13.64,5.48E-01
2.77E-11,16.05,6.03E-01
3.13E-11,18.98,6.64E-01
3.54E-11,22.57,7.29E-01
4.01E-11,26.28,8.12E-01
4.41E-11,28.89,8.93E-01
5.02E-11,32.2,1.03
5.66E-11,35.26,1.18
6.46E-11,39.01,1.373
7.50E-11,43.77,1.624
8.75E-11,49.33,1.931
1.03E-10,55.92,2.316
1.08E-10,57.64,2.455
1.11E-10,58.42,2.528
1.13E-10,58.98,2.584
1.15E-10,59.61,2.646
1.17E-10,60.23,2.704
1.21E-10,61.23,2.794
1.25E-10,62.5,2.909
1.30E-10,63.99,3.064
1.35E-10,65.18,3.204
1.43E-10,66.78,3.413
1.49E-10,68.18,3.615
1.58E-10,69.7,3.856
1.66E-10,71.09,4.106
1.75E-10,72.44,4.386
1.85E-10,73.73,4.685
1.92E-10,74.58,4.908
2.00E-10,75.43,5.153
2.11E-10,76.51,5.501
2.31E-10,78.15,6.135
2.51E-10,79.42,6.777
2.71E-10,80.37,7.424
2.91E-10,81.04,8.078
3.00E-10,81.25,8.375
3.02E-10,79.58,8.408
3.08E-10,77.38,8.452
3.20E-10,75.57,8.489
3.30E-10,74.24,8.515
3.46E-10,71.92,8.562
3.66E-10,69.1,8.618
3.86E-10,66.49,8.67
4.06E-10,64.05,8.719
4.26E-10,61.77,8.765
4.46E-10,59.65,8.807
4.66E-10,57.67,8.847
4.86E-10,55.81,8.884
5.06E-10,54.01,8.92
5.26E-10,52.32,8.954
5.46E-10,50.75,8.985
5.66E-10,49.3,9.014
5.86E-10,47.96,9.041
6.06E-10,46.72,9.066
6.26E-10,45.58,9.088
6.46E-10,44.52,9.11
6.66E-10,43.54,9.129
6.86E-10,42.64,9.147
7.06E-10,41.8,9.164
7.26E-10,41.03,9.179
7.46E-10,40.31,9.194
7.66E-10,39.64,9.207
7.86E-10,39.02,9.22
8.06E-10,38.45,9.231
8.26E-10,37.91,9.242
8.46E-10,37.41,9.252
8.66E-10,36.95,9.261
8.86E-10,36.52,9.27
9.06E-10,36.12,9.278
9.26E-10,35.75,9.285
9.46E-10,35.4,9.292
9.66E-10,35.07,9.299
9.86E-10,34.77,9.305
1.01E-09,34.48,9.31
1.03E-09,34.22,9.316
1.05E-09,33.97,9.321
1.07E-09,33.74,9.325
1.09E-09,33.52,9.33
1.11E-09,33.31,9.334
1.13E-09,33.12,9.338
1.15E-09,32.94,9.341
1.17E-09,32.77,9.345
1.19E-09,32.61,9.348
1.21E-09,32.46,9.351
1.23E-09,32.32,9.354
1.25E-09,32.19,9.356
1.27E-09,32.07,9.359
1.29E-09,31.95,9.361
1.31E-09,31.84,9.363
1.33E-09,31.74,9.365
1.35E-09,31.64,9.367
1.37E-09,31.54,9.369
1.39E-09,31.46,9.371
1.41E-09,31.37,9.373
1.43E-09,31.3,9.374
1.45E-09,31.22,9.376
1.47E-09,31.15,9.377
1.49E-09,31.09,9.378
