time,vout,iout,
5.76E-10,53.06,2.951,
5.96E-10,50.86,2.995,
6.16E-10,48.61,3.04,
6.36E-10,46.42,3.084,
6.56E-10,44.34,3.125,
6.76E-10,42.41,3.164,
6.96E-10,40.6,3.2,
7.16E-10,38.91,3.234,
7.36E-10,37.34,3.265,
7.56E-10,35.87,3.295,
7.76E-10,34.51,3.322,
7.96E-10,33.23,3.347,
8.16E-10,32.04,3.371,
8.36E-10,30.93,3.393,
8.56E-10,29.89,3.414,
8.76E-10,28.92,3.434,
8.96E-10,28.02,3.452,
9.16E-10,27.17,3.469,
9.36E-10,26.39,3.484,
9.56E-10,25.65,3.499,
9.76E-10,24.96,3.513,
9.96E-10,24.32,3.526,
1.016E-09,23.72,3.538,
1.036E-09,23.15,3.549,
1.056E-09,22.63,3.559,
1.076E-09,22.13,3.569,
1.096E-09,21.67,3.579,
1.116E-09,21.24,3.587,
1.136E-09,20.84,3.595,
1.156E-09,20.46,3.603,
1.176E-09,20.11,3.61,
1.196E-09,19.78,3.616,
1.22E-09,19.47,3.623,
1.24E-09,19.18,3.628,
1.26E-09,18.91,3.634,
1.28E-09,18.65,3.639,
1.3E-09,18.41,3.644,
1.32E-09,18.19,3.648,
1.34E-09,17.97,3.653,
1.36E-09,17.77,3.657,
1.38E-09,17.59,3.66,
1.4E-09,17.41,3.664,
1.42E-09,17.24,3.667,
1.44E-09,17.08,3.67,
1.46E-09,16.93,3.673,
1.48E-09,16.79,3.676,
1.5E-09,16.66,3.679,
1.52E-09,16.53,3.681,
1.54E-09,16.41,3.684,
1.56E-09,16.29,3.686,
1.58E-09,16.18,3.688,
1.6E-09,16.08,3.69,
1.62E-09,15.98,3.692,
1.64E-09,15.89,3.694,
1.66E-09,15.8,3.696,
1.68E-09,15.71,3.698,
1.7E-09,15.63,3.699,
1.72E-09,15.55,3.701,
1.74E-09,15.48,3.702,
1.76E-09,15.41,3.704,
1.78E-09,15.34,3.705,
1.8E-09,15.27,3.707,
1.82E-09,15.21,3.708,
1.84E-09,15.15,3.709,
1.86E-09,15.1,3.71,
1.88E-09,15.04,3.711,
1.9E-09,14.99,3.712,
1.92E-09,14.94,3.713,
1.94E-09,14.89,3.714,
1.96E-09,14.84,3.715,
1.98E-09,14.8,3.716,
0.000000002,14.75,3.717,
2.02E-09,14.71,3.718,
2.04E-09,14.67,3.719,
2.06E-09,14.63,3.719,
2.08E-09,14.6,3.72,
2.1E-09,14.56,3.721,
2.12E-09,14.53,3.721,
2.14E-09,14.49,3.722,
2.16E-09,14.46,3.723,
2.18E-09,14.43,3.723,
2.2E-09,14.4,3.724,
2.22E-09,14.37,3.725,
2.24E-09,14.34,3.725,
2.26E-09,14.32,3.726,
2.28E-09,14.29,3.726,
2.3E-09,14.26,3.727,
2.32E-09,14.24,3.727,
2.34E-09,14.22,3.728,
2.36E-09,14.19,3.728,
2.38E-09,14.17,3.729,
2.4E-09,14.15,3.729,
2.42E-09,14.13,3.729,
2.44E-09,14.11,3.73,
2.46E-09,14.09,3.73,
2.48E-09,14.07,3.731,
2.5E-09,14.05,3.731,
2.52E-09,14.03,3.731,
2.54E-09,14.02,3.732,
2.56E-09,14,3.732,
2.58E-09,13.98,3.732,
2.6E-09,13.97,3.733,
2.62E-09,13.95,3.733,
2.64E-09,13.94,3.733,
2.66E-09,13.92,3.734,
2.68E-09,13.91,3.734,
2.7E-09,13.89,3.734,
2.72E-09,13.88,3.734,
2.74E-09,13.87,3.735,
2.76E-09,13.86,3.735,
2.78E-09,13.84,3.735,
2.8E-09,13.83,3.735,
2.82E-09,13.82,3.736,
2.84E-09,13.81,3.736,
2.86E-09,13.8,3.736,
2.88E-09,13.79,3.736,
2.9E-09,13.78,3.736,
2.92E-09,13.77,3.737,
2.94E-09,13.76,3.737,
2.96E-09,13.75,3.737,
2.98E-09,13.74,3.737,
0.000000003,13.73,3.737,
3.02E-09,13.72,3.738,
3.04E-09,13.71,3.738,
3.06E-09,13.7,3.738,
3.08E-09,13.69,3.738,
3.1E-09,13.68,3.738,
3.12E-09,13.68,3.738,
3.14E-09,13.67,3.739,
3.16E-09,13.66,3.739,
3.18E-09,13.65,3.739,
3.2E-09,13.65,3.739,
3.22E-09,13.64,3.739,
3.24E-09,13.63,3.739,
3.26E-09,13.62,3.74,
3.28E-09,13.62,3.74,
3.3E-09,13.61,3.74,
3.32E-09,13.61,3.74,
3.34E-09,13.6,3.74,
3.36E-09,13.59,3.74,
3.38E-09,13.59,3.74,
3.4E-09,13.58,3.74,
3.42E-09,13.58,3.74,
3.44E-09,13.57,3.741,
3.46E-09,13.56,3.741,
3.48E-09,13.56,3.741,
3.5E-09,13.55,3.741,
3.52E-09,13.55,3.741,
3.54E-09,13.54,3.741,
3.56E-09,13.54,3.741,
3.58E-09,13.53,3.741,
3.6E-09,13.53,3.741,
3.62E-09,13.53,3.741,
3.64E-09,13.52,3.742,
3.66E-09,13.52,3.742,
3.68E-09,13.51,3.742,
3.7E-09,13.51,3.742,
3.72E-09,13.5,3.742,
3.74E-09,13.5,3.742,
3.76E-09,13.5,3.742,
3.78E-09,13.49,3.742,
3.8E-09,13.49,3.742,
3.82E-09,13.48,3.742,
3.84E-09,13.48,3.742,
3.86E-09,13.48,3.742,
3.88E-09,13.47,3.743,
3.9E-09,13.47,3.743,
3.92E-09,13.47,3.743,
3.94E-09,13.46,3.743,
3.96E-09,13.46,3.743,
3.98E-09,13.46,3.743,
0.000000004,13.45,3.743,
4.02E-09,13.45,3.743,
4.04E-09,13.45,3.743,
4.06E-09,13.44,3.743,
4.08E-09,13.44,3.743,
4.1E-09,13.44,3.743,
4.12E-09,13.44,3.743,
4.14E-09,13.43,3.743,
4.16E-09,13.43,3.743,
4.18E-09,13.43,3.743,
4.2E-09,13.42,3.744,
4.22E-09,13.42,3.744,
4.24E-09,13.42,3.744,
4.26E-09,13.42,3.744,
4.28E-09,13.41,3.744,
4.3E-09,13.41,3.744,
4.32E-09,13.41,3.744,
4.34E-09,13.41,3.744,
4.36E-09,13.41,3.744,
4.38E-09,13.4,3.744,
4.4E-09,13.4,3.744,
4.42E-09,13.4,3.744,
4.44E-09,13.4,3.744,
4.46E-09,13.39,3.744,
4.48E-09,13.39,3.744,
4.5E-09,13.39,3.744,
4.52E-09,13.39,3.744,
4.54E-09,13.39,3.744,
4.56E-09,13.38,3.744,
4.58E-09,13.38,3.744,
4.6E-09,13.38,3.744,
4.62E-09,13.38,3.744,
4.64E-09,13.38,3.744,
4.66E-09,13.38,3.744,
4.68E-09,13.37,3.745,
4.7E-09,13.37,3.745,
4.72E-09,13.37,3.745,
4.74E-09,13.37,3.745,
4.76E-09,13.37,3.745,
4.78E-09,13.37,3.745,
4.8E-09,13.36,3.745,
4.82E-09,13.36,3.745,
4.84E-09,13.36,3.745,
4.86E-09,13.36,3.745,
4.88E-09,13.36,3.745,
4.9E-09,13.36,3.745,
4.92E-09,13.36,3.745,
4.94E-09,13.35,3.745,
4.96E-09,13.35,3.745,
4.98E-09,13.35,3.745,
0.000000005,13.35,3.745,
5.02E-09,13.34,3.745,#REF!
5.04E-09,13.34,3.745,#REF!
5.06E-09,13.33,3.745,#REF!
5.08E-09,13.33,3.745,#REF!
5.1E-09,13.33,3.745,#REF!
5.12E-09,13.33,3.745,#REF!
5.14E-09,13.33,3.745,#REF!
5.16E-09,13.33,3.745,#REF!
5.18E-09,13.33,3.745,#REF!
5.2E-09,13.33,3.745,#REF!
5.22E-09,13.33,3.745,#REF!
5.24E-09,13.32,3.746,#REF!
5.26E-09,13.32,3.746,#REF!
5.28E-09,13.32,3.746,#REF!
5.3E-09,13.32,3.746,#REF!
5.3E-09,13.32,3.746,#REF!
5.3E-09,12.81,3.739,#REF!
5.31E-09,12.05,3.706,#REF!
