Time(s),Voltage(V),Current(A)
0.000000e+00,-2.605000e-198,5.210000e-200
2.000000e-12,8.044000e+00,3.913000e-02
4.000000e-12,1.724000e+01,5.523000e-02
6.552000e-12,3.036000e+01,4.804000e-02
9.446000e-12,4.467000e+01,5.118000e-02
1.108000e-11,5.283000e+01,5.102000e-02
1.294000e-11,5.674000e+01,1.596000e-01
1.436000e-11,5.666000e+01,3.032000e-01
1.679000e-11,5.767000e+01,5.256000e-01
1.888000e-11,5.805000e+01,7.267000e-01
2.274000e-11,5.931000e+01,1.088000e+00
2.933000e-11,6.106000e+01,1.712000e+00
4.080000e-11,6.443000e+01,2.791000e+00
6.147000e-11,7.019000e+01,4.743000e+00
1.000000e-10,8.122000e+01,8.376000e+00
1.071000e-10,8.031000e+01,8.394000e+00
1.125000e-10,8.026000e+01,8.395000e+00
1.287000e-10,8.030000e+01,8.394000e+00
1.684000e-10,5.003000e+01,8.999000e+00
1.883000e-10,2.690000e+01,9.462000e+00
2.067000e-10,2.379000e+01,9.524000e+00
2.212000e-10,1.979000e+01,9.604000e+00
2.337000e-10,1.878000e+01,9.624000e+00
2.482000e-10,1.772000e+01,9.646000e+00
2.631000e-10,1.688000e+01,9.662000e+00
2.832000e-10,1.668000e+01,9.666000e+00
3.088000e-10,1.606000e+01,9.679000e+00
3.451000e-10,1.640000e+01,9.672000e+00
3.967000e-10,1.602000e+01,9.680000e+00
4.721000e-10,1.640000e+01,9.672000e+00
5.886000e-10,1.603000e+01,9.679000e+00
7.762000e-10,1.639000e+01,9.672000e+00
9.762000e-10,1.603000e+01,9.679000e+00
1.176000e-09,1.639000e+01,9.672000e+00
1.376000e-09,1.603000e+01,9.679000e+00
1.576000e-09,1.639000e+01,9.672000e+00
1.776000e-09,1.603000e+01,9.679000e+00
1.976000e-09,1.639000e+01,9.672000e+00
2.176000e-09,1.603000e+01,9.679000e+00
2.376000e-09,1.639000e+01,9.672000e+00
2.576000e-09,1.603000e+01,9.679000e+00
2.776000e-09,1.639000e+01,9.672000e+00
2.976000e-09,1.603000e+01,9.679000e+00
3.176000e-09,1.638000e+01,9.672000e+00
3.376000e-09,1.604000e+01,9.679000e+00
3.576000e-09,1.638000e+01,9.672000e+00
3.776000e-09,1.604000e+01,9.679000e+00
3.976000e-09,1.638000e+01,9.672000e+00
4.176000e-09,1.604000e+01,9.679000e+00
4.376000e-09,1.638000e+01,9.672000e+00
4.576000e-09,1.604000e+01,9.679000e+00
4.776000e-09,1.638000e+01,9.672000e+00
4.976000e-09,1.604000e+01,9.679000e+00
5.100000e-09,1.638000e+01,9.672000e+00
5.105000e-09,1.516000e+01,9.197000e+00
5.115000e-09,1.488000e+01,8.245000e+00
5.143000e-09,1.438000e+01,5.381000e+00
5.182000e-09,1.349000e+01,1.513000e+00
5.200000e-09,7.122000e-01,-1.424000e-02
5.200000e-09,8.864000e-01,-1.773000e-02
5.200000e-09,9.271000e-01,-1.854000e-02
5.201000e-09,3.321000e-01,-6.642000e-03
5.201000e-09,4.540000e-02,-9.081000e-04
5.201000e-09,-2.076000e-02,4.152000e-04
5.202000e-09,-3.487000e-02,6.974000e-04
5.202000e-09,-3.739000e-02,7.479000e-04
5.202000e-09,-3.365000e-02,6.730000e-04
5.202000e-09,-2.577000e-02,5.154000e-04
5.202000e-09,-1.654000e-02,3.309000e-04
5.202000e-09,-8.457000e-03,1.691000e-04
5.203000e-09,-2.810000e-03,5.620000e-05
5.203000e-09,-6.824000e-04,1.365000e-05
5.203000e-09,1.110000e-04,-2.220000e-06
5.203000e-09,4.989000e-04,-9.977000e-06
5.203000e-09,6.338000e-04,-1.268000e-05
5.203000e-09,6.371000e-04,-1.274000e-05
5.204000e-09,5.391000e-04,-1.078000e-05
5.204000e-09,3.850000e-04,-7.700000e-06
5.204000e-09,2.293000e-04,-4.585000e-06
5.204000e-09,9.743000e-05,-1.949000e-06
5.204000e-09,2.169000e-05,-4.338000e-07
