Time(s),Voltage(V),Current(A)
0.000000e+00,4.708000e-200,-9.415000e-202
2.000000e-12,3.696000e-01,5.927000e-02
4.000000e-12,5.025000e-01,1.233000e-01
7.649000e-12,6.612000e-01,2.418000e-01
1.080000e-11,8.954000e-01,3.420000e-01
1.690000e-11,1.377000e+00,5.359000e-01
2.492000e-11,2.264000e+00,7.853000e-01
3.655000e-11,3.908000e+00,1.140000e+00
5.240000e-11,6.942000e+00,1.608000e+00
7.445000e-11,1.251000e+01,2.232000e+00
1.049000e-10,2.275000e+01,3.041000e+00
1.472000e-10,4.143000e+01,4.077000e+00
1.707000e-10,5.396000e+01,4.610000e+00
1.918000e-10,6.184000e+01,5.156000e+00
2.184000e-10,6.796000e+01,5.922000e+00
2.553000e-10,7.337000e+01,7.044000e+00
3.000000e-10,7.816000e+01,8.437000e+00
3.070000e-10,7.828000e+01,8.434000e+00
3.168000e-10,7.879000e+01,8.424000e+00
3.463000e-10,7.957000e+01,8.409000e+00
3.615000e-10,7.947000e+01,8.411000e+00
3.754000e-10,7.962000e+01,8.408000e+00
4.078000e-10,7.954000e+01,8.409000e+00
4.265000e-10,7.962000e+01,8.408000e+00
4.516000e-10,7.951000e+01,8.410000e+00
4.803000e-10,7.952000e+01,8.410000e+00
5.105000e-10,7.937000e+01,8.413000e+00
5.480000e-10,7.932000e+01,8.414000e+00
5.908000e-10,7.907000e+01,8.419000e+00
6.441000e-10,7.890000e+01,8.422000e+00
7.102000e-10,7.838000e+01,8.432000e+00
7.933000e-10,7.788000e+01,8.442000e+00
8.995000e-10,7.650000e+01,8.470000e+00
1.037000e-09,7.477000e+01,8.505000e+00
1.218000e-09,6.997000e+01,8.601000e+00
1.418000e-09,6.449000e+01,8.710000e+00
1.618000e-09,5.513000e+01,8.897000e+00
1.818000e-09,4.273000e+01,9.145000e+00
2.018000e-09,3.082000e+01,9.384000e+00
2.198000e-09,2.598000e+01,9.480000e+00
2.383000e-09,2.215000e+01,9.557000e+00
2.583000e-09,2.004000e+01,9.599000e+00
2.783000e-09,1.858000e+01,9.628000e+00
2.983000e-09,1.771000e+01,9.646000e+00
3.183000e-09,1.716000e+01,9.657000e+00
3.383000e-09,1.675000e+01,9.665000e+00
3.583000e-09,1.655000e+01,9.669000e+00
3.783000e-09,1.634000e+01,9.673000e+00
3.983000e-09,1.629000e+01,9.674000e+00
4.183000e-09,1.619000e+01,9.676000e+00
4.383000e-09,1.624000e+01,9.675000e+00
4.583000e-09,1.618000e+01,9.676000e+00
4.783000e-09,1.624000e+01,9.675000e+00
4.983000e-09,1.619000e+01,9.676000e+00
5.183000e-09,1.623000e+01,9.675000e+00
5.300000e-09,1.619000e+01,9.676000e+00
5.315000e-09,1.579000e+01,9.184000e+00
5.331000e-09,1.567000e+01,8.637000e+00
5.381000e-09,1.535000e+01,6.994000e+00
5.483000e-09,1.464000e+01,3.592000e+00
5.600000e-09,1.235000e+01,-2.471000e-01
5.603000e-09,1.258000e+01,-2.515000e-01
5.605000e-09,1.254000e+01,-2.508000e-01
5.613000e-09,1.228000e+01,-2.457000e-01
5.621000e-09,1.209000e+01,-2.419000e-01
5.637000e-09,1.161000e+01,-2.323000e-01
5.666000e-09,1.087000e+01,-2.174000e-01
5.714000e-09,9.708000e+00,-1.942000e-01
5.800000e-09,7.954000e+00,-1.591000e-01
5.954000e-09,5.515000e+00,-1.103000e-01
6.154000e-09,3.452000e+00,-6.904000e-02
6.354000e-09,2.129000e+00,-4.257000e-02
6.554000e-09,1.344000e+00,-2.688000e-02
6.754000e-09,8.171000e-01,-1.634000e-02
6.954000e-09,5.278000e-01,-1.056000e-02
7.154000e-09,3.093000e-01,-6.185000e-03
7.354000e-09,2.117000e-01,-4.234000e-03
7.554000e-09,1.127000e-01,-2.253000e-03
7.754000e-09,8.919000e-02,-1.784000e-03
7.954000e-09,3.659000e-02,-7.319000e-04
8.154000e-09,4.169000e-02,-8.338000e-04
8.354000e-09,7.183000e-03,-1.437000e-04
8.554000e-09,2.324000e-02,-4.648000e-04
8.754000e-09,-4.157000e-03,8.315000e-05
8.954000e-09,1.602000e-02,-3.204000e-04
9.154000e-09,-8.527000e-03,1.705000e-04
9.354000e-09,1.314000e-02,-2.628000e-04
9.554000e-09,-1.018000e-02,2.037000e-04
9.754000e-09,1.196000e-02,-2.392000e-04
9.954000e-09,-1.078000e-02,2.155000e-04
1.000000e-08,1.142000e-02,-2.283000e-04
