Time(s),Voltage(V),Current(A)
0.000000e+00,4.913000e-200,-9.828000e-202
2.000000e-12,3.696000e-01,5.927000e-02
4.000000e-12,5.025000e-01,1.233000e-01
7.649000e-12,6.612000e-01,2.418000e-01
1.080000e-11,8.954000e-01,3.420000e-01
1.690000e-11,1.377000e+00,5.359000e-01
2.492000e-11,2.264000e+00,7.853000e-01
3.655000e-11,3.908000e+00,1.140000e+00
5.240000e-11,6.942000e+00,1.608000e+00
7.445000e-11,1.251000e+01,2.232000e+00
1.049000e-10,2.275000e+01,3.041000e+00
1.472000e-10,4.143000e+01,4.077000e+00
1.707000e-10,5.396000e+01,4.610000e+00
1.918000e-10,6.184000e+01,5.156000e+00
2.184000e-10,6.796000e+01,5.922000e+00
2.553000e-10,7.337000e+01,7.044000e+00
3.000000e-10,7.816000e+01,8.437000e+00
3.070000e-10,7.828000e+01,8.434000e+00
3.168000e-10,7.879000e+01,8.424000e+00
3.463000e-10,7.959000e+01,8.408000e+00
3.615000e-10,7.956000e+01,8.409000e+00
3.754000e-10,7.970000e+01,8.406000e+00
4.074000e-10,7.963000e+01,8.407000e+00
4.263000e-10,7.969000e+01,8.406000e+00
4.516000e-10,7.956000e+01,8.409000e+00
4.807000e-10,7.953000e+01,8.409000e+00
5.114000e-10,7.930000e+01,8.414000e+00
5.497000e-10,7.915000e+01,8.417000e+00
5.932000e-10,7.865000e+01,8.427000e+00
6.482000e-10,7.818000e+01,8.436000e+00
7.165000e-10,7.684000e+01,8.463000e+00
8.031000e-10,7.513000e+01,8.497000e+00
9.149000e-10,7.038000e+01,8.592000e+00
1.062000e-09,6.327000e+01,8.735000e+00
1.256000e-09,4.309000e+01,9.138000e+00
1.456000e-09,2.833000e+01,9.433000e+00
1.639000e-09,2.206000e+01,9.559000e+00
1.800000e-09,1.936000e+01,9.613000e+00
1.958000e-09,1.794000e+01,9.641000e+00
2.158000e-09,1.695000e+01,9.661000e+00
2.358000e-09,1.655000e+01,9.669000e+00
2.558000e-09,1.625000e+01,9.675000e+00
2.758000e-09,1.626000e+01,9.675000e+00
2.958000e-09,1.617000e+01,9.677000e+00
3.158000e-09,1.625000e+01,9.675000e+00
3.358000e-09,1.617000e+01,9.677000e+00
3.558000e-09,1.624000e+01,9.675000e+00
3.758000e-09,1.618000e+01,9.676000e+00
3.958000e-09,1.624000e+01,9.675000e+00
4.158000e-09,1.618000e+01,9.676000e+00
4.358000e-09,1.624000e+01,9.675000e+00
4.558000e-09,1.618000e+01,9.676000e+00
4.758000e-09,1.623000e+01,9.675000e+00
4.958000e-09,1.619000e+01,9.676000e+00
5.158000e-09,1.623000e+01,9.675000e+00
5.300000e-09,1.619000e+01,9.676000e+00
5.315000e-09,1.579000e+01,9.184000e+00
5.333000e-09,1.566000e+01,8.587000e+00
5.387000e-09,1.531000e+01,6.795000e+00
5.504000e-09,1.450000e+01,2.927000e+00
5.600000e-09,1.255000e+01,-2.509000e-01
5.602000e-09,1.277000e+01,-2.555000e-01
5.605000e-09,1.274000e+01,-2.549000e-01
5.612000e-09,1.250000e+01,-2.500000e-01
5.619000e-09,1.232000e+01,-2.464000e-01
5.634000e-09,1.187000e+01,-2.374000e-01
5.661000e-09,1.117000e+01,-2.235000e-01
5.705000e-09,1.007000e+01,-2.013000e-01
5.785000e-09,8.378000e+00,-1.676000e-01
5.926000e-09,5.995000e+00,-1.199000e-01
6.120000e-09,3.804000e+00,-7.609000e-02
6.320000e-09,2.348000e+00,-4.695000e-02
6.520000e-09,1.481000e+00,-2.962000e-02
6.720000e-09,9.018000e-01,-1.804000e-02
6.920000e-09,5.809000e-01,-1.162000e-02
7.120000e-09,3.419000e-01,-6.839000e-03
7.320000e-09,2.324000e-01,-4.647000e-03
7.520000e-09,1.252000e-01,-2.504000e-03
7.720000e-09,9.733000e-02,-1.947000e-03
7.920000e-09,4.131000e-02,-8.262000e-04
8.120000e-09,4.497000e-02,-8.995000e-04
8.320000e-09,8.881000e-03,-1.776000e-04
8.520000e-09,2.464000e-02,-4.928000e-04
8.720000e-09,-3.627000e-03,7.254000e-05
8.920000e-09,1.669000e-02,-3.339000e-04
9.120000e-09,-8.446000e-03,1.689000e-04
9.320000e-09,1.353000e-02,-2.706000e-04
9.520000e-09,-1.028000e-02,2.055000e-04
9.720000e-09,1.224000e-02,-2.447000e-04
9.920000e-09,-1.094000e-02,2.188000e-04
1.000000e-08,1.171000e-02,-2.342000e-04
