Time(s),Voltage(V),Current(A)
0.000000e+00,-7.906000e-221,1.581000e-222
2.000000e-12,8.045000e+00,3.911000e-02
4.000000e-12,1.724000e+01,5.519000e-02
6.551000e-12,3.036000e+01,4.797000e-02
9.445000e-12,4.467000e+01,5.107000e-02
1.108000e-11,5.283000e+01,5.089000e-02
1.294000e-11,5.674000e+01,1.595000e-01
1.436000e-11,5.666000e+01,3.030000e-01
1.679000e-11,5.767000e+01,5.254000e-01
1.887000e-11,5.805000e+01,7.264000e-01
2.274000e-11,5.931000e+01,1.088000e+00
2.932000e-11,6.106000e+01,1.711000e+00
4.078000e-11,6.443000e+01,2.790000e+00
6.143000e-11,7.018000e+01,4.740000e+00
1.000000e-10,8.122000e+01,8.376000e+00
1.071000e-10,8.031000e+01,8.394000e+00
1.125000e-10,8.026000e+01,8.395000e+00
1.287000e-10,8.030000e+01,8.394000e+00
1.484000e-10,8.026000e+01,8.395000e+00
1.774000e-10,8.027000e+01,8.395000e+00
1.947000e-10,7.763000e+01,8.447000e+00
2.155000e-10,7.586000e+01,8.483000e+00
2.341000e-10,7.530000e+01,8.494000e+00
2.525000e-10,7.453000e+01,8.509000e+00
2.963000e-10,7.206000e+01,8.559000e+00
4.278000e-10,5.766000e+01,8.847000e+00
5.168000e-10,3.720000e+01,9.256000e+00
6.273000e-10,2.461000e+01,9.508000e+00
7.072000e-10,2.073000e+01,9.585000e+00
8.158000e-10,1.812000e+01,9.638000e+00
9.299000e-10,1.704000e+01,9.659000e+00
1.079000e-09,1.634000e+01,9.673000e+00
1.279000e-09,1.625000e+01,9.675000e+00
1.479000e-09,1.617000e+01,9.677000e+00
1.679000e-09,1.625000e+01,9.675000e+00
1.879000e-09,1.617000e+01,9.677000e+00
2.079000e-09,1.625000e+01,9.675000e+00
2.279000e-09,1.617000e+01,9.677000e+00
2.479000e-09,1.625000e+01,9.675000e+00
2.679000e-09,1.617000e+01,9.677000e+00
2.879000e-09,1.625000e+01,9.675000e+00
3.079000e-09,1.617000e+01,9.677000e+00
3.279000e-09,1.625000e+01,9.675000e+00
3.479000e-09,1.617000e+01,9.677000e+00
3.679000e-09,1.625000e+01,9.675000e+00
3.879000e-09,1.617000e+01,9.677000e+00
4.079000e-09,1.625000e+01,9.675000e+00
4.279000e-09,1.617000e+01,9.677000e+00
4.479000e-09,1.625000e+01,9.675000e+00
4.679000e-09,1.617000e+01,9.677000e+00
4.879000e-09,1.625000e+01,9.675000e+00
5.079000e-09,1.617000e+01,9.677000e+00
5.100000e-09,1.624000e+01,9.675000e+00
5.105000e-09,1.516000e+01,9.197000e+00
5.109000e-09,1.500000e+01,8.772000e+00
5.122000e-09,1.480000e+01,7.493000e+00
5.151000e-09,1.414000e+01,4.576000e+00
5.200000e-09,2.674000e-01,-5.348000e-03
5.200000e-09,5.655000e-01,-1.131000e-02
5.201000e-09,5.342000e-01,-1.068000e-02
5.201000e-09,2.134000e-01,-4.268000e-03
5.201000e-09,3.832000e-02,-7.664000e-04
5.202000e-09,7.535000e-05,-1.507000e-06
5.202000e-09,-1.308000e-02,2.617000e-04
5.202000e-09,-1.684000e-02,3.368000e-04
5.202000e-09,-1.701000e-02,3.402000e-04
5.202000e-09,-1.453000e-02,2.907000e-04
5.202000e-09,-1.049000e-02,2.097000e-04
5.203000e-09,-6.306000e-03,1.261000e-04
5.203000e-09,-2.910000e-03,5.819000e-05
5.203000e-09,-6.943000e-04,1.389000e-05
5.203000e-09,-1.149000e-04,2.297000e-06
5.203000e-09,1.726000e-04,-3.452000e-06
5.203000e-09,2.823000e-04,-5.646000e-06
5.204000e-09,3.068000e-04,-6.136000e-06
5.204000e-09,2.756000e-04,-5.513000e-06
5.204000e-09,2.105000e-04,-4.210000e-06
5.204000e-09,1.271000e-04,-2.542000e-06
5.204000e-09,4.630000e-05,-9.260000e-07
5.205000e-09,2.368000e-05,-4.737000e-07
5.205000e-09,9.037000e-06,-1.807000e-07
5.205000e-09,1.574000e-06,-3.149000e-08
5.205000e-09,-3.347000e-06,6.694000e-08
5.205000e-09,-5.309000e-06,1.062000e-07
5.205000e-09,-5.220000e-06,1.044000e-07
5.205000e-09,-3.926000e-06,7.851000e-08
5.206000e-09,-2.289000e-06,4.578000e-08
5.206000e-09,-8.572000e-07,1.714000e-08
5.206000e-09,-3.332000e-08,6.664000e-10
5.207000e-09,1.161000e-07,-2.321000e-09
5.207000e-09,1.145000e-07,-2.289000e-09
5.207000e-09,6.169000e-08,-1.234000e-09
5.208000e-09,7.053000e-09,-1.411000e-10
5.209000e-09,-8.314000e-09,1.663000e-10
5.210000e-09,3.127000e-09,-6.254000e-11
5.211000e-09,-8.088000e-10,1.618000e-11
5.215000e-09,4.027000e-10,-8.055000e-12
5.228000e-09,-2.979000e-10,5.958000e-12
5.265000e-09,2.659000e-10,-5.318000e-12
5.378000e-09,-2.556000e-10,5.111000e-12
5.578000e-09,2.498000e-10,-4.996000e-12
5.778000e-09,-2.441000e-10,4.881000e-12
5.978000e-09,2.384000e-10,-4.768000e-12
6.178000e-09,-2.327000e-10,4.655000e-12
6.378000e-09,2.272000e-10,-4.543000e-12
6.578000e-09,-2.216000e-10,4.432000e-12
6.778000e-09,2.161000e-10,-4.323000e-12
6.978000e-09,-2.107000e-10,4.214000e-12
7.178000e-09,2.053000e-10,-4.106000e-12
7.378000e-09,-2.000000e-10,3.999000e-12
7.578000e-09,1.947000e-10,-3.893000e-12
7.778000e-09,-1.894000e-10,3.788000e-12
7.978000e-09,1.842000e-10,-3.684000e-12
8.178000e-09,-1.790000e-10,3.580000e-12
8.378000e-09,1.739000e-10,-3.478000e-12
8.578000e-09,-1.688000e-10,3.377000e-12
8.778000e-09,1.638000e-10,-3.276000e-12
8.978000e-09,-1.588000e-10,3.176000e-12
9.178000e-09,1.539000e-10,-3.077000e-12
9.378000e-09,-1.490000e-10,2.980000e-12
9.578000e-09,1.441000e-10,-2.882000e-12
9.778000e-09,-1.393000e-10,2.786000e-12
9.978000e-09,1.345000e-10,-2.691000e-12
1.000000e-08,-9.242000e-11,1.848000e-12
