Time(s),Voltage(V),Current(A)
0.000000e+00,8.127000e-184,-1.625000e-185
2.000000e-12,8.024000e+00,3.952000e-02
4.000000e-12,1.719000e+01,5.615000e-02
6.568000e-12,3.035000e+01,4.980000e-02
9.470000e-12,4.464000e+01,5.409000e-02
1.111000e-11,5.279000e+01,5.474000e-02
1.298000e-11,5.673000e+01,1.632000e-01
1.441000e-11,5.666000e+01,3.082000e-01
1.685000e-11,5.767000e+01,5.320000e-01
1.896000e-11,5.807000e+01,7.352000e-01
2.292000e-11,5.935000e+01,1.105000e+00
2.968000e-11,6.115000e+01,1.745000e+00
4.149000e-11,6.461000e+01,2.857000e+00
6.290000e-11,7.058000e+01,4.878000e+00
1.000000e-10,8.120000e+01,8.376000e+00
1.072000e-10,8.029000e+01,8.394000e+00
1.126000e-10,8.024000e+01,8.395000e+00
1.286000e-10,8.028000e+01,8.394000e+00
1.686000e-10,8.017000e+01,8.397000e+00
2.011000e-10,7.969000e+01,8.406000e+00
2.443000e-10,7.878000e+01,8.424000e+00
2.891000e-10,7.829000e+01,8.434000e+00
3.454000e-10,7.763000e+01,8.447000e+00
4.170000e-10,7.662000e+01,8.468000e+00
5.261000e-10,7.424000e+01,8.515000e+00
6.218000e-10,7.138000e+01,8.572000e+00
8.218000e-10,6.241000e+01,8.752000e+00
1.022000e-09,4.626000e+01,9.075000e+00
1.222000e-09,3.096000e+01,9.381000e+00
1.422000e-09,2.376000e+01,9.525000e+00
1.622000e-09,2.016000e+01,9.597000e+00
1.822000e-09,1.836000e+01,9.633000e+00
2.022000e-09,1.732000e+01,9.654000e+00
2.222000e-09,1.680000e+01,9.664000e+00
2.422000e-09,1.644000e+01,9.671000e+00
2.622000e-09,1.631000e+01,9.674000e+00
2.822000e-09,1.620000e+01,9.676000e+00
3.022000e-09,1.623000e+01,9.675000e+00
3.222000e-09,1.619000e+01,9.676000e+00
3.422000e-09,1.623000e+01,9.675000e+00
3.622000e-09,1.619000e+01,9.676000e+00
3.822000e-09,1.623000e+01,9.675000e+00
4.022000e-09,1.619000e+01,9.676000e+00
4.222000e-09,1.623000e+01,9.675000e+00
4.422000e-09,1.619000e+01,9.676000e+00
4.622000e-09,1.623000e+01,9.675000e+00
4.822000e-09,1.619000e+01,9.676000e+00
5.022000e-09,1.623000e+01,9.675000e+00
5.100000e-09,1.619000e+01,9.676000e+00
5.105000e-09,1.515000e+01,9.197000e+00
5.113000e-09,1.493000e+01,8.435000e+00
5.136000e-09,1.452000e+01,6.143000e+00
5.173000e-09,1.369000e+01,2.427000e+00
5.200000e-09,4.750000e-01,-9.499000e-03
5.200000e-09,7.162000e-01,-1.432000e-02
5.200000e-09,7.908000e-01,-1.582000e-02
5.201000e-09,4.840000e-01,-9.680000e-03
5.201000e-09,1.711000e-01,-3.423000e-03
5.201000e-09,6.334000e-02,-1.267000e-03
5.201000e-09,1.624000e-02,-3.248000e-04
5.202000e-09,-3.811000e-03,7.622000e-05
5.202000e-09,-1.341000e-02,2.682000e-04
5.202000e-09,-1.705000e-02,3.409000e-04
5.202000e-09,-1.709000e-02,3.418000e-04
5.202000e-09,-1.442000e-02,2.884000e-04
5.202000e-09,-1.028000e-02,2.055000e-04
5.202000e-09,-6.102000e-03,1.220000e-04
5.203000e-09,-2.754000e-03,5.509000e-05
5.203000e-09,-6.498000e-04,1.300000e-05
5.203000e-09,-1.106000e-04,2.211000e-06
5.203000e-09,1.764000e-04,-3.527000e-06
5.203000e-09,2.844000e-04,-5.687000e-06
5.203000e-09,3.086000e-04,-6.173000e-06
5.204000e-09,2.769000e-04,-5.537000e-06
5.204000e-09,2.110000e-04,-4.219000e-06
5.204000e-09,1.273000e-04,-2.546000e-06
5.204000e-09,4.617000e-05,-9.233000e-07
5.204000e-09,2.357000e-05,-4.713000e-07
5.205000e-09,9.039000e-06,-1.808000e-07
5.205000e-09,1.544000e-06,-3.087000e-08
5.205000e-09,-3.387000e-06,6.775000e-08
5.205000e-09,-5.350000e-06,1.070000e-07
5.205000e-09,-5.248000e-06,1.050000e-07
5.205000e-09,-3.941000e-06,7.881000e-08
5.206000e-09,-2.294000e-06,4.587000e-08
5.206000e-09,-8.542000e-07,1.708000e-08
5.206000e-09,-3.591000e-08,7.182000e-10
5.206000e-09,1.157000e-07,-2.314000e-09
5.207000e-09,1.152000e-07,-2.304000e-09
5.207000e-09,6.251000e-08,-1.250000e-09
5.208000e-09,7.522000e-09,-1.504000e-10
5.209000e-09,-8.458000e-09,1.692000e-10
