Time(s),Voltage(V),Current(A)
0.000000e+00,-4.042000e-190,8.082000e-192
2.000000e-12,8.038000e+00,3.923000e-02
4.000000e-12,1.723000e+01,5.548000e-02
6.557000e-12,3.036000e+01,4.851000e-02
9.453000e-12,4.467000e+01,5.191000e-02
1.108000e-11,5.283000e+01,5.188000e-02
1.295000e-11,5.674000e+01,1.605000e-01
1.438000e-11,5.666000e+01,3.045000e-01
1.681000e-11,5.767000e+01,5.272000e-01
1.890000e-11,5.806000e+01,7.287000e-01
2.278000e-11,5.932000e+01,1.092000e+00
2.939000e-11,6.107000e+01,1.717000e+00
4.091000e-11,6.446000e+01,2.801000e+00
6.167000e-11,7.024000e+01,4.762000e+00
1.000000e-10,8.121000e+01,8.376000e+00
1.071000e-10,8.030000e+01,8.394000e+00
1.125000e-10,8.026000e+01,8.395000e+00
1.287000e-10,8.030000e+01,8.394000e+00
1.684000e-10,8.017000e+01,8.397000e+00
1.934000e-10,7.958000e+01,8.408000e+00
2.215000e-10,7.973000e+01,8.405000e+00
2.537000e-10,7.970000e+01,8.406000e+00
2.821000e-10,7.961000e+01,8.408000e+00
3.354000e-10,7.956000e+01,8.409000e+00
4.019000e-10,7.933000e+01,8.413000e+00
5.759000e-10,7.870000e+01,8.426000e+00
6.682000e-10,7.809000e+01,8.438000e+00
8.682000e-10,7.637000e+01,8.473000e+00
1.068000e-09,7.344000e+01,8.531000e+00
1.268000e-09,6.920000e+01,8.616000e+00
1.468000e-09,6.335000e+01,8.733000e+00
1.668000e-09,5.643000e+01,8.871000e+00
1.868000e-09,4.307000e+01,9.139000e+00
2.068000e-09,3.351000e+01,9.330000e+00
2.268000e-09,2.746000e+01,9.451000e+00
2.468000e-09,2.368000e+01,9.526000e+00
2.668000e-09,2.118000e+01,9.576000e+00
2.868000e-09,1.960000e+01,9.608000e+00
3.068000e-09,1.848000e+01,9.630000e+00
3.268000e-09,1.778000e+01,9.644000e+00
3.468000e-09,1.723000e+01,9.655000e+00
3.668000e-09,1.692000e+01,9.662000e+00
3.868000e-09,1.662000e+01,9.668000e+00
4.068000e-09,1.649000e+01,9.670000e+00
4.268000e-09,1.632000e+01,9.674000e+00
4.468000e-09,1.629000e+01,9.674000e+00
4.668000e-09,1.620000e+01,9.676000e+00
4.868000e-09,1.623000e+01,9.675000e+00
5.068000e-09,1.619000e+01,9.676000e+00
5.100000e-09,1.623000e+01,9.675000e+00
5.105000e-09,1.516000e+01,9.197000e+00
5.110000e-09,1.498000e+01,8.690000e+00
5.125000e-09,1.473000e+01,7.163000e+00
5.157000e-09,1.403000e+01,4.044000e+00
5.200000e-09,2.995000e-01,-5.990000e-03
5.200000e-09,5.919000e-01,-1.184000e-02
5.201000e-09,5.864000e-01,-1.173000e-02
5.201000e-09,2.623000e-01,-5.245000e-03
5.201000e-09,5.888000e-02,-1.178000e-03
5.202000e-09,9.148000e-03,-1.830000e-04
5.202000e-09,-8.866000e-03,1.773000e-04
5.202000e-09,-1.470000e-02,2.940000e-04
5.202000e-09,-1.690000e-02,3.380000e-04
5.202000e-09,-1.585000e-02,3.171000e-04
5.202000e-09,-1.257000e-02,2.514000e-04
5.202000e-09,-8.422000e-03,1.684000e-04
5.203000e-09,-4.591000e-03,9.182000e-05
5.203000e-09,-1.773000e-03,3.546000e-05
5.203000e-09,-4.547000e-04,9.095000e-06
5.203000e-09,-4.621000e-05,9.242000e-07
5.203000e-09,1.938000e-04,-3.875000e-06
5.203000e-09,2.796000e-04,-5.591000e-06
5.204000e-09,2.913000e-04,-5.826000e-06
5.204000e-09,2.534000e-04,-5.068000e-06
5.204000e-09,1.849000e-04,-3.698000e-06
5.204000e-09,1.030000e-04,-2.060000e-06
5.204000e-09,2.828000e-05,-5.656000e-07
5.205000e-09,2.484000e-06,-4.969000e-08
5.205000e-09,-3.154000e-06,6.309000e-08
5.205000e-09,-5.470000e-06,1.094000e-07
5.205000e-09,-5.752000e-06,1.150000e-07
5.205000e-09,-4.625000e-06,9.251000e-08
5.206000e-09,-2.888000e-06,5.776000e-08
5.206000e-09,-1.245000e-06,2.490000e-08
5.206000e-09,-3.643000e-07,7.285000e-09
5.206000e-09,2.145000e-08,-4.290000e-10
5.207000e-09,1.189000e-07,-2.378000e-09
5.207000e-09,1.015000e-07,-2.030000e-09
5.207000e-09,4.403000e-08,-8.805000e-10
5.208000e-09,-1.831000e-09,3.662000e-11
5.209000e-09,-3.191000e-09,6.382000e-11
5.211000e-09,3.348000e-09,-6.696000e-11
5.212000e-09,-2.116000e-09,4.232000e-11
5.218000e-09,1.740000e-09,-3.481000e-11
5.235000e-09,-1.624000e-09,3.248000e-11
5.285000e-09,1.586000e-09,-3.172000e-11
5.437000e-09,-1.574000e-09,3.147000e-11
5.637000e-09,1.564000e-09,-3.128000e-11
5.837000e-09,-1.555000e-09,3.109000e-11
6.037000e-09,1.545000e-09,-3.091000e-11
6.237000e-09,-1.536000e-09,3.072000e-11
6.437000e-09,1.527000e-09,-3.054000e-11
6.637000e-09,-1.518000e-09,3.035000e-11
6.837000e-09,1.508000e-09,-3.017000e-11
7.037000e-09,-1.499000e-09,2.998000e-11
7.237000e-09,1.490000e-09,-2.980000e-11
7.437000e-09,-1.481000e-09,2.962000e-11
7.637000e-09,1.472000e-09,-2.944000e-11
7.837000e-09,-1.463000e-09,2.925000e-11
8.037000e-09,1.454000e-09,-2.907000e-11
8.237000e-09,-1.445000e-09,2.890000e-11
8.437000e-09,1.436000e-09,-2.872000e-11
8.637000e-09,-1.427000e-09,2.854000e-11
8.837000e-09,1.418000e-09,-2.836000e-11
9.037000e-09,-1.409000e-09,2.818000e-11
9.237000e-09,1.400000e-09,-2.801000e-11
9.437000e-09,-1.392000e-09,2.783000e-11
9.637000e-09,1.383000e-09,-2.766000e-11
