Time(s),Voltage(V),Current(A)
0.000000e+00,-1.148000e-196,2.296000e-198
2.000000e-12,8.044000e+00,3.911000e-02
4.000000e-12,1.724000e+01,5.519000e-02
6.551000e-12,3.036000e+01,4.797000e-02
9.445000e-12,4.467000e+01,5.107000e-02
1.108000e-11,5.283000e+01,5.089000e-02
1.294000e-11,5.674000e+01,1.595000e-01
1.436000e-11,5.666000e+01,3.030000e-01
1.679000e-11,5.767000e+01,5.254000e-01
1.887000e-11,5.805000e+01,7.264000e-01
2.274000e-11,5.931000e+01,1.088000e+00
2.932000e-11,6.106000e+01,1.711000e+00
4.078000e-11,6.443000e+01,2.790000e+00
6.144000e-11,7.018000e+01,4.740000e+00
1.000000e-10,8.122000e+01,8.376000e+00
1.071000e-10,8.031000e+01,8.394000e+00
1.125000e-10,8.026000e+01,8.395000e+00
1.287000e-10,8.030000e+01,8.394000e+00
1.312000e-10,8.029000e+01,8.394000e+00
1.386000e-10,8.028000e+01,8.394000e+00
1.400000e-10,8.028000e+01,8.394000e+00
1.442000e-10,8.028000e+01,8.394000e+00
1.498000e-10,8.028000e+01,8.394000e+00
1.573000e-10,8.019000e+01,8.396000e+00
1.592000e-10,7.860000e+01,8.428000e+00
1.609000e-10,6.542000e+01,8.692000e+00
1.620000e-10,4.061000e+01,9.188000e+00
1.628000e-10,2.438000e+01,9.512000e+00
1.634000e-10,2.088000e+01,9.582000e+00
1.640000e-10,1.875000e+01,9.625000e+00
1.645000e-10,1.773000e+01,9.645000e+00
1.650000e-10,1.709000e+01,9.658000e+00
1.656000e-10,1.663000e+01,9.667000e+00
1.664000e-10,1.634000e+01,9.673000e+00
1.674000e-10,1.621000e+01,9.676000e+00
1.687000e-10,1.621000e+01,9.676000e+00
1.702000e-10,1.621000e+01,9.676000e+00
1.724000e-10,1.621000e+01,9.676000e+00
1.751000e-10,1.621000e+01,9.676000e+00
1.786000e-10,1.621000e+01,9.676000e+00
1.834000e-10,1.621000e+01,9.676000e+00
1.900000e-10,1.621000e+01,9.676000e+00
2.004000e-10,1.621000e+01,9.676000e+00
2.178000e-10,1.621000e+01,9.676000e+00
2.513000e-10,1.621000e+01,9.676000e+00
3.255000e-10,1.621000e+01,9.676000e+00
