Time(s),Voltage(V),Current(A)
0.000000e+00,5.355000e-203,-1.071000e-204
2.000000e-12,1.906000e-01,3.619000e-02
4.000000e-12,2.334000e-01,7.533000e-02
6.157000e-12,2.341000e-01,1.185000e-01
8.099000e-12,2.733000e-01,1.565000e-01
1.106000e-11,3.143000e-01,2.148000e-01
1.506000e-11,4.132000e-01,2.930000e-01
2.071000e-11,5.795000e-01,4.025000e-01
2.841000e-11,9.032000e-01,5.502000e-01
3.901000e-11,1.489000e+00,7.503000e-01
5.350000e-11,2.584000e+00,1.018000e+00
7.340000e-11,4.593000e+00,1.376000e+00
1.007000e-10,8.305000e+00,1.848000e+00
1.384000e-10,1.511000e+01,2.465000e+00
1.904000e-10,2.758000e+01,3.257000e+00
2.628000e-10,5.029000e+01,4.251000e+00
3.037000e-10,6.186000e+01,4.836000e+00
3.561000e-10,6.955000e+01,5.731000e+00
4.321000e-10,7.472000e+01,7.149000e+00
5.000000e-10,7.853000e+01,8.429000e+00
5.110000e-10,7.880000e+01,8.424000e+00
5.265000e-10,7.933000e+01,8.413000e+00
5.730000e-10,8.009000e+01,8.398000e+00
6.376000e-10,8.027000e+01,8.395000e+00
7.761000e-10,7.948000e+01,8.410000e+00
8.511000e-10,7.852000e+01,8.430000e+00
9.154000e-10,7.769000e+01,8.446000e+00
1.001000e-09,7.530000e+01,8.494000e+00
1.146000e-09,6.673000e+01,8.665000e+00
1.332000e-09,3.867000e+01,9.227000e+00
1.532000e-09,2.072000e+01,9.586000e+00
1.664000e-09,1.855000e+01,9.629000e+00
1.853000e-09,1.663000e+01,9.667000e+00
1.982000e-09,1.653000e+01,9.669000e+00
2.182000e-09,1.609000e+01,9.678000e+00
2.382000e-09,1.632000e+01,9.674000e+00
2.582000e-09,1.611000e+01,9.678000e+00
2.782000e-09,1.631000e+01,9.674000e+00
2.982000e-09,1.612000e+01,9.678000e+00
3.182000e-09,1.629000e+01,9.674000e+00
3.382000e-09,1.613000e+01,9.677000e+00
3.582000e-09,1.628000e+01,9.674000e+00
3.782000e-09,1.614000e+01,9.677000e+00
3.982000e-09,1.627000e+01,9.675000e+00
4.182000e-09,1.615000e+01,9.677000e+00
4.382000e-09,1.627000e+01,9.675000e+00
4.582000e-09,1.616000e+01,9.677000e+00
4.782000e-09,1.626000e+01,9.675000e+00
4.982000e-09,1.617000e+01,9.677000e+00
5.182000e-09,1.625000e+01,9.675000e+00
5.382000e-09,1.617000e+01,9.677000e+00
5.500000e-09,1.624000e+01,9.675000e+00
5.520000e-09,1.595000e+01,9.281000e+00
5.542000e-09,1.585000e+01,8.847000e+00
5.607000e-09,1.559000e+01,7.544000e+00
5.769000e-09,1.492000e+01,4.321000e+00
5.969000e-09,1.406000e+01,3.377000e-01
6.000000e-09,1.361000e+01,-2.722000e-01
6.002000e-09,1.375000e+01,-2.750000e-01
6.004000e-09,1.374000e+01,-2.747000e-01
6.009000e-09,1.359000e+01,-2.717000e-01
6.016000e-09,1.345000e+01,-2.689000e-01
6.031000e-09,1.311000e+01,-2.622000e-01
6.059000e-09,1.251000e+01,-2.503000e-01
6.110000e-09,1.147000e+01,-2.294000e-01
6.210000e-09,9.719000e+00,-1.944000e-01
6.403000e-09,6.986000e+00,-1.397000e-01
6.603000e-09,4.991000e+00,-9.982000e-02
6.803000e-09,3.542000e+00,-7.083000e-02
7.003000e-09,2.537000e+00,-5.075000e-02
7.203000e-09,1.794000e+00,-3.588000e-02
7.403000e-09,1.292000e+00,-2.584000e-02
7.603000e-09,9.066000e-01,-1.813000e-02
7.803000e-09,6.597000e-01,-1.319000e-02
8.003000e-09,4.563000e-01,-9.126000e-03
8.203000e-09,3.388000e-01,-6.776000e-03
8.403000e-09,2.278000e-01,-4.555000e-03
8.603000e-09,1.759000e-01,-3.518000e-03
8.803000e-09,1.118000e-01,-2.236000e-03
9.003000e-09,9.318000e-02,-1.864000e-03
9.203000e-09,5.298000e-02,-1.060000e-03
9.403000e-09,5.116000e-02,-1.023000e-03
9.603000e-09,2.315000e-02,-4.631000e-04
9.803000e-09,2.980000e-02,-5.960000e-04
1.000000e-08,8.132000e-03,-1.626000e-04
