Time(s),Voltage(V),Current(A)
0.000000e+00,5.425000e-203,-1.085000e-204
2.000000e-12,9.342000e-02,1.813000e-02
4.000000e-12,1.118000e-01,3.776000e-02
8.003000e-12,1.106000e-01,7.781000e-02
1.009000e-11,1.256000e-01,9.838000e-02
1.291000e-11,1.305000e-01,1.265000e-01
1.650000e-11,1.518000e-01,1.620000e-01
2.244000e-11,1.828000e-01,2.208000e-01
3.067000e-11,2.490000e-01,3.018000e-01
4.232000e-11,3.640000e-01,4.159000e-01
5.829000e-11,5.840000e-01,5.713000e-01
8.030000e-11,9.836000e-01,7.833000e-01
1.104000e-10,1.730000e+00,1.070000e+00
1.518000e-10,3.101000e+00,1.456000e+00
2.084000e-10,5.640000e+00,1.971000e+00
2.861000e-10,1.031000e+01,2.655000e+00
3.930000e-10,1.890000e+01,3.552000e+00
5.405000e-10,3.464000e+01,4.712000e+00
7.405000e-10,5.920000e+01,6.221000e+00
8.547000e-10,6.955000e+01,7.156000e+00
1.000000e-09,7.644000e+01,8.471000e+00
1.020000e-09,7.693000e+01,8.461000e+00
1.052000e-09,7.775000e+01,8.445000e+00
1.100000e-09,7.863000e+01,8.427000e+00
1.172000e-09,7.917000e+01,8.417000e+00
1.215000e-09,7.911000e+01,8.418000e+00
1.250000e-09,7.902000e+01,8.420000e+00
1.296000e-09,7.874000e+01,8.425000e+00
1.360000e-09,7.815000e+01,8.437000e+00
1.435000e-09,7.669000e+01,8.466000e+00
1.535000e-09,7.319000e+01,8.536000e+00
1.666000e-09,6.195000e+01,8.761000e+00
1.844000e-09,3.633000e+01,9.273000e+00
2.044000e-09,1.916000e+01,9.617000e+00
2.181000e-09,1.756000e+01,9.649000e+00
2.360000e-09,1.652000e+01,9.670000e+00
2.487000e-09,1.629000e+01,9.674000e+00
2.687000e-09,1.622000e+01,9.676000e+00
2.887000e-09,1.621000e+01,9.676000e+00
3.087000e-09,1.621000e+01,9.676000e+00
3.287000e-09,1.621000e+01,9.676000e+00
3.487000e-09,1.621000e+01,9.676000e+00
3.687000e-09,1.621000e+01,9.676000e+00
3.887000e-09,1.621000e+01,9.676000e+00
4.087000e-09,1.621000e+01,9.676000e+00
4.287000e-09,1.621000e+01,9.676000e+00
4.487000e-09,1.621000e+01,9.676000e+00
4.687000e-09,1.621000e+01,9.676000e+00
4.887000e-09,1.621000e+01,9.676000e+00
5.087000e-09,1.621000e+01,9.676000e+00
5.287000e-09,1.621000e+01,9.676000e+00
5.487000e-09,1.621000e+01,9.676000e+00
5.687000e-09,1.621000e+01,9.676000e+00
5.887000e-09,1.621000e+01,9.676000e+00
6.000000e-09,1.621000e+01,9.676000e+00
6.020000e-09,1.608000e+01,9.478000e+00
6.050000e-09,1.602000e+01,9.178000e+00
6.141000e-09,1.584000e+01,8.275000e+00
6.316000e-09,1.548000e+01,6.528000e+00
6.516000e-09,1.507000e+01,4.536000e+00
6.716000e-09,1.466000e+01,2.544000e+00
6.916000e-09,1.422000e+01,5.532000e-01
7.000000e-09,1.381000e+01,-2.762000e-01
7.004000e-09,1.388000e+01,-2.775000e-01
7.009000e-09,1.385000e+01,-2.771000e-01
7.021000e-09,1.376000e+01,-2.751000e-01
7.040000e-09,1.363000e+01,-2.726000e-01
7.092000e-09,1.327000e+01,-2.653000e-01
7.207000e-09,1.250000e+01,-2.501000e-01
7.407000e-09,1.127000e+01,-2.254000e-01
7.607000e-09,1.017000e+01,-2.034000e-01
7.807000e-09,9.162000e+00,-1.832000e-01
8.007000e-09,8.268000e+00,-1.654000e-01
8.207000e-09,7.449000e+00,-1.490000e-01
8.407000e-09,6.723000e+00,-1.345000e-01
8.607000e-09,6.056000e+00,-1.211000e-01
8.807000e-09,5.467000e+00,-1.093000e-01
9.007000e-09,4.924000e+00,-9.847000e-02
9.207000e-09,4.445000e+00,-8.891000e-02
9.407000e-09,4.003000e+00,-8.005000e-02
9.607000e-09,3.615000e+00,-7.230000e-02
9.807000e-09,3.254000e+00,-6.508000e-02
1.000000e-08,2.950000e+00,-5.900000e-02
