Time(s),Voltage(V),Current(A)
0.000000e+00,5.300000e-203,-1.060000e-204
2.000000e-12,9.622000e-01,1.808000e-01
4.000000e-12,1.190000e+00,3.762000e-01
7.379000e-12,1.313000e+00,7.116000e-01
1.009000e-11,1.670000e+00,9.751000e-01
1.427000e-11,2.186000e+00,1.384000e+00
1.961000e-11,3.251000e+00,1.896000e+00
2.710000e-11,5.132000e+00,2.607000e+00
3.721000e-11,8.704000e+00,3.547000e+00
5.113000e-11,1.521000e+01,4.808000e+00
7.017000e-11,2.730000e+01,6.471000e+00
9.639000e-11,4.944000e+01,8.650000e+00
1.000000e-10,5.302000e+01,8.940000e+00
1.011000e-10,5.324000e+01,8.935000e+00
1.024000e-10,5.434000e+01,8.913000e+00
1.065000e-10,5.820000e+01,8.836000e+00
1.140000e-10,6.353000e+01,8.729000e+00
1.295000e-10,7.124000e+01,8.575000e+00
1.506000e-10,7.632000e+01,8.474000e+00
1.816000e-10,7.932000e+01,8.414000e+00
2.223000e-10,8.009000e+01,8.398000e+00
2.783000e-10,8.034000e+01,8.393000e+00
3.622000e-10,8.023000e+01,8.395000e+00
5.162000e-10,7.969000e+01,8.406000e+00
6.029000e-10,7.885000e+01,8.423000e+00
6.766000e-10,7.828000e+01,8.434000e+00
7.729000e-10,7.597000e+01,8.481000e+00
9.448000e-10,6.631000e+01,8.674000e+00
1.145000e-09,3.553000e+01,9.289000e+00
1.345000e-09,2.027000e+01,9.595000e+00
1.474000e-09,1.837000e+01,9.633000e+00
1.674000e-09,1.657000e+01,9.669000e+00
1.809000e-09,1.645000e+01,9.671000e+00
2.009000e-09,1.612000e+01,9.678000e+00
2.209000e-09,1.629000e+01,9.674000e+00
2.409000e-09,1.613000e+01,9.677000e+00
2.609000e-09,1.628000e+01,9.674000e+00
2.809000e-09,1.614000e+01,9.677000e+00
3.009000e-09,1.627000e+01,9.675000e+00
3.209000e-09,1.616000e+01,9.677000e+00
3.409000e-09,1.626000e+01,9.675000e+00
3.609000e-09,1.617000e+01,9.677000e+00
3.809000e-09,1.625000e+01,9.675000e+00
4.009000e-09,1.617000e+01,9.677000e+00
4.209000e-09,1.624000e+01,9.675000e+00
4.409000e-09,1.618000e+01,9.676000e+00
4.609000e-09,1.623000e+01,9.675000e+00
4.809000e-09,1.619000e+01,9.676000e+00
5.009000e-09,1.623000e+01,9.675000e+00
5.100000e-09,1.620000e+01,9.676000e+00
5.105000e-09,1.516000e+01,9.197000e+00
5.113000e-09,1.496000e+01,8.377000e+00
5.138000e-09,1.451000e+01,5.914000e+00
5.175000e-09,1.368000e+01,2.214000e+00
5.200000e-09,1.310000e+01,-2.619000e-01
5.201000e-09,1.384000e+01,-2.769000e-01
5.202000e-09,1.408000e+01,-2.815000e-01
5.204000e-09,1.389000e+01,-2.779000e-01
5.206000e-09,1.390000e+01,-2.781000e-01
5.209000e-09,1.376000e+01,-2.752000e-01
5.214000e-09,1.363000e+01,-2.727000e-01
5.222000e-09,1.336000e+01,-2.671000e-01
5.236000e-09,1.299000e+01,-2.597000e-01
5.260000e-09,1.228000e+01,-2.456000e-01
5.300000e-09,1.126000e+01,-2.252000e-01
5.369000e-09,9.621000e+00,-1.924000e-01
5.481000e-09,7.499000e+00,-1.500000e-01
5.681000e-09,4.730000e+00,-9.459000e-02
5.881000e-09,3.025000e+00,-6.050000e-02
6.081000e-09,1.893000e+00,-3.786000e-02
6.281000e-09,1.226000e+00,-2.452000e-02
6.481000e-09,7.522000e-01,-1.504000e-02
6.681000e-09,5.023000e-01,-1.005000e-02
6.881000e-09,2.934000e-01,-5.869000e-03
7.081000e-09,2.112000e-01,-4.223000e-03
7.281000e-09,1.090000e-01,-2.181000e-03
7.481000e-09,9.401000e-02,-1.880000e-03
7.681000e-09,3.493000e-02,-6.987000e-04
7.881000e-09,4.682000e-02,-9.365000e-04
8.081000e-09,5.204000e-03,-1.041000e-04
8.281000e-09,2.777000e-02,-5.555000e-04
8.481000e-09,-6.687000e-03,1.337000e-04
8.681000e-09,2.003000e-02,-4.005000e-04
8.881000e-09,-1.143000e-02,2.286000e-04
9.081000e-09,1.681000e-02,-3.362000e-04
9.281000e-09,-1.328000e-02,2.657000e-04
9.481000e-09,1.543000e-02,-3.087000e-04
9.681000e-09,-1.397000e-02,2.794000e-04
9.881000e-09,1.481000e-02,-2.962000e-04
1.000000e-08,-1.409000e-02,2.819000e-04
