Time(s),Voltage(V),Current(A)
0.000000e+00,5.385000e-203,-1.077000e-204
2.000000e-12,1.868000e-01,3.626000e-02
4.000000e-12,2.237000e-01,7.553000e-02
6.086000e-12,2.126000e-01,1.175000e-01
7.725000e-12,2.345000e-01,1.498000e-01
9.995000e-12,2.404000e-01,1.951000e-01
1.368000e-11,2.756000e-01,2.682000e-01
1.898000e-11,3.239000e-01,3.731000e-01
2.647000e-11,4.285000e-01,5.208000e-01
3.681000e-11,6.089000e-01,7.241000e-01
5.107000e-11,9.548000e-01,1.002000e+00
7.060000e-11,1.584000e+00,1.380000e+00
9.735000e-11,2.759000e+00,1.892000e+00
1.340000e-10,4.920000e+00,2.581000e+00
1.841000e-10,8.921000e+00,3.503000e+00
2.528000e-10,1.629000e+01,4.731000e+00
3.472000e-10,2.986000e+01,6.348000e+00
4.774000e-10,5.474000e+01,8.453000e+00
5.000000e-10,5.927000e+01,8.815000e+00
5.068000e-10,6.026000e+01,8.795000e+00
5.161000e-10,6.182000e+01,8.764000e+00
5.442000e-10,6.586000e+01,8.683000e+00
6.012000e-10,7.161000e+01,8.568000e+00
7.019000e-10,7.692000e+01,8.462000e+00
8.446000e-10,7.950000e+01,8.410000e+00
1.032000e-09,7.937000e+01,8.413000e+00
1.149000e-09,7.781000e+01,8.444000e+00
1.246000e-09,7.536000e+01,8.493000e+00
1.369000e-09,6.785000e+01,8.643000e+00
1.569000e-09,4.123000e+01,9.175000e+00
1.761000e-09,2.085000e+01,9.583000e+00
1.915000e-09,1.775000e+01,9.645000e+00
2.056000e-09,1.686000e+01,9.663000e+00
2.183000e-09,1.638000e+01,9.672000e+00
2.379000e-09,1.623000e+01,9.675000e+00
2.579000e-09,1.619000e+01,9.676000e+00
2.779000e-09,1.622000e+01,9.676000e+00
2.979000e-09,1.620000e+01,9.676000e+00
3.179000e-09,1.622000e+01,9.676000e+00
3.379000e-09,1.621000e+01,9.676000e+00
3.579000e-09,1.621000e+01,9.676000e+00
3.779000e-09,1.621000e+01,9.676000e+00
3.979000e-09,1.621000e+01,9.676000e+00
4.179000e-09,1.621000e+01,9.676000e+00
4.379000e-09,1.621000e+01,9.676000e+00
4.579000e-09,1.621000e+01,9.676000e+00
4.779000e-09,1.621000e+01,9.676000e+00
4.979000e-09,1.621000e+01,9.676000e+00
5.179000e-09,1.621000e+01,9.676000e+00
5.379000e-09,1.621000e+01,9.676000e+00
5.500000e-09,1.621000e+01,9.676000e+00
5.520000e-09,1.595000e+01,9.281000e+00
5.542000e-09,1.587000e+01,8.843000e+00
5.608000e-09,1.561000e+01,7.528000e+00
5.801000e-09,1.481000e+01,3.693000e+00
6.000000e-09,1.369000e+01,-2.738000e-01
6.005000e-09,1.385000e+01,-2.769000e-01
6.009000e-09,1.383000e+01,-2.766000e-01
6.023000e-09,1.372000e+01,-2.744000e-01
6.038000e-09,1.362000e+01,-2.724000e-01
6.080000e-09,1.332000e+01,-2.663000e-01
6.163000e-09,1.277000e+01,-2.554000e-01
6.321000e-09,1.176000e+01,-2.352000e-01
6.521000e-09,1.061000e+01,-2.123000e-01
6.721000e-09,9.560000e+00,-1.912000e-01
6.921000e-09,8.631000e+00,-1.726000e-01
7.121000e-09,7.772000e+00,-1.554000e-01
7.321000e-09,7.019000e+00,-1.404000e-01
7.521000e-09,6.318000e+00,-1.264000e-01
7.721000e-09,5.708000e+00,-1.142000e-01
7.921000e-09,5.136000e+00,-1.027000e-01
8.121000e-09,4.642000e+00,-9.284000e-02
8.321000e-09,4.175000e+00,-8.350000e-02
8.521000e-09,3.775000e+00,-7.551000e-02
8.721000e-09,3.394000e+00,-6.787000e-02
8.921000e-09,3.071000e+00,-6.142000e-02
9.121000e-09,2.758000e+00,-5.516000e-02
9.321000e-09,2.498000e+00,-4.996000e-02
9.521000e-09,2.242000e+00,-4.483000e-02
9.721000e-09,2.032000e+00,-4.064000e-02
9.921000e-09,1.822000e+00,-3.643000e-02
1.000000e-08,1.759000e+00,-3.519000e-02
