Time(s),Voltage(V),Current(A),Current(A)_1,Voltage(V)_1,Voltage(V)_2
5.833000e-09,1.859000e-05,-3.717000e-07,-3.717000e-07,1.859000e-05,1.859000e-05
5.844000e-09,1.033000e-05,-2.066000e-07,-2.066000e-07,1.033000e-05,1.033000e-05
5.855000e-09,5.743000e-06,-1.149000e-07,-1.149000e-07,5.743000e-06,5.743000e-06
5.865000e-09,3.192000e-06,-6.385000e-08,-6.385000e-08,3.192000e-06,3.192000e-06
5.876000e-09,1.775000e-06,-3.549000e-08,-3.549000e-08,1.775000e-06,1.775000e-06
5.886000e-09,9.865000e-07,-1.973000e-08,-1.973000e-08,9.865000e-07,9.865000e-07
5.897000e-09,5.484000e-07,-1.097000e-08,-1.097000e-08,5.484000e-07,5.484000e-07
5.908000e-09,3.048000e-07,-6.096000e-09,-6.096000e-09,3.048000e-07,3.048000e-07
5.918000e-09,1.694000e-07,-3.389000e-09,-3.389000e-09,1.694000e-07,1.694000e-07
5.929000e-09,9.419000e-08,-1.884000e-09,-1.884000e-09,9.419000e-08,9.419000e-08
5.940000e-09,5.236000e-08,-1.047000e-09,-1.047000e-09,5.236000e-08,5.236000e-08
5.950000e-09,2.910000e-08,-5.821000e-10,-5.821000e-10,2.910000e-08,2.910000e-08
5.961000e-09,1.618000e-08,-3.236000e-10,-3.236000e-10,1.618000e-08,1.618000e-08
5.972000e-09,8.993000e-09,-1.799000e-10,-1.799000e-10,8.993000e-09,8.993000e-09
5.984000e-09,4.453000e-09,-8.907000e-11,-8.907000e-11,4.453000e-09,4.453000e-09
6.000000e-09,1.854000e-09,-3.708000e-11,-3.708000e-11,1.854000e-09,1.854000e-09
6.019000e-09,5.849000e-10,-1.170000e-11,-1.170000e-11,5.849000e-10,5.849000e-10
6.044000e-09,1.161000e-10,-2.323000e-12,-2.323000e-12,1.161000e-10,1.161000e-10
6.081000e-09,1.508000e-12,-3.015000e-14,-3.015000e-14,1.508000e-12,1.508000e-12
6.146000e-09,-4.140000e-13,8.281000e-15,8.281000e-15,-4.140000e-13,-4.140000e-13
6.301000e-09,2.530000e-13,-5.060000e-15,-5.060000e-15,2.530000e-13,2.530000e-13
6.765000e-09,-2.153000e-13,4.306000e-15,4.306000e-15,-2.153000e-13,-2.153000e-13
7.765000e-09,1.998000e-13,-3.996000e-15,-3.996000e-15,1.998000e-13,1.998000e-13
8.765000e-09,-1.854000e-13,3.708000e-15,3.708000e-15,-1.854000e-13,-1.854000e-13
9.765000e-09,1.721000e-13,-3.442000e-15,-3.442000e-15,1.721000e-13,1.721000e-13
1.000000e-08,-1.249000e-13,2.498000e-15,2.498000e-15,-1.249000e-13,-1.249000e-13
