"time
References : ['vout','I_Probe1.i']
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","I_Probe1.i
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","I_Probe1.i
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
Num. Points : [89]
Matrix Size : scalar
Type : Real","vout
References : []
Dependency : [time]
5.823 nsec,33.44 uV,-668.8 nA,-668.8 nA,33.44 uV,33.44 uV
5.833 nsec,18.59 uV,-371.7 nA,-371.7 nA,18.59 uV,18.59 uV
5.844 nsec,10.33 uV,-206.6 nA,-206.6 nA,10.33 uV,10.33 uV
5.855 nsec,5.743 uV,-114.9 nA,-114.9 nA,5.743 uV,5.743 uV
5.865 nsec,3.192 uV,-63.85 nA,-63.85 nA,3.192 uV,3.192 uV
5.876 nsec,1.775 uV,-35.49 nA,-35.49 nA,1.775 uV,1.775 uV
5.886 nsec,986.5 nV,-19.73 nA,-19.73 nA,986.5 nV,986.5 nV
5.897 nsec,548.4 nV,-10.97 nA,-10.97 nA,548.4 nV,548.4 nV
5.908 nsec,304.8 nV,-6.096 nA,-6.096 nA,304.8 nV,304.8 nV
5.918 nsec,169.4 nV,-3.389 nA,-3.389 nA,169.4 nV,169.4 nV
5.929 nsec,94.19 nV,-1.884 nA,-1.884 nA,94.19 nV,94.19 nV
5.940 nsec,52.36 nV,-1.047 nA,-1.047 nA,52.36 nV,52.36 nV
5.950 nsec,29.10 nV,-582.1 pA,-582.1 pA,29.10 nV,29.10 nV
5.961 nsec,16.18 nV,-323.6 pA,-323.6 pA,16.18 nV,16.18 nV
5.972 nsec,8.993 nV,-179.9 pA,-179.9 pA,8.993 nV,8.993 nV
5.984 nsec,4.453 nV,-89.07 pA,-89.07 pA,4.453 nV,4.453 nV
6.000 nsec,1.854 nV,-37.08 pA,-37.08 pA,1.854 nV,1.854 nV
6.019 nsec,584.9 pV,-11.70 pA,-11.70 pA,584.9 pV,584.9 pV
6.044 nsec,116.1 pV,-2.323 pA,-2.323 pA,116.1 pV,116.1 pV
6.081 nsec,1.508 pV,-30.15 fA,-30.15 fA,1.508 pV,1.508 pV
6.146 nsec,-414.0 fV,8.281 fA,8.281 fA,-414.0 fV,-414.0 fV
6.301 nsec,253.0 fV,-5.060 fA,-5.060 fA,253.0 fV,253.0 fV
6.765 nsec,-215.3 fV,4.306 fA,4.306 fA,-215.3 fV,-215.3 fV
7.765 nsec,199.8 fV,-3.996 fA,-3.996 fA,199.8 fV,199.8 fV
8.765 nsec,-185.4 fV,3.708 fA,3.708 fA,-185.4 fV,-185.4 fV
9.765 nsec,172.1 fV,-3.442 fA,-3.442 fA,172.1 fV,172.1 fV
10.00 nsec,-124.9 fV,2.498 fA,2.498 fA,-124.9 fV,-124.9 fV
